Country,2023 SDG Index Score,2023 SDG Index Rank,Regions used for the SDR,SDG1: No Poverty,,SDG2: No Hunger,,SDG3: Good Health and Well-Being,,SDG4: Quality Education,,SDG5: Gender Equality,,SDG6: Clean Water and Sanitation,,SDG7: Affordable and Clean Energy,,SDG8: Decent Work and Economic Growth,,"SDG9: Industry, Innovation and Infrastructure",,SDG10: Reduced Inequalities,,SDG11: Sustainable Cities and Communities,,SDG12: Responsible Consumption and Production,,SDG13: Climate Action,,SDG14: Life Below Water,,SDG15: Life on Land,,"SDG16: Peace, Justice and Strong Institutions",,SDG17: Partnerships for the Goals,
Panama,67.3,97,LAC,yellow,➚,red,➚,red,➚,orange,➚,orange,➚,orange,➚,orange,→,red,→,orange,➚,red,→,yellow,↑,orange,➚,orange,↓,red,→,red,→,red,→,orange,↑
Philippines,67.1,98,East & South Asia,orange,➚,orange,➚,red,➚,orange,→,orange,→,orange,↑,orange,→,red,➚,orange,➚,red,➚,orange,→,green,➚,yellow,→,red,➚,red,→,red,→,orange,➚
Nepal,66.5,99,East & South Asia,orange,➚,orange,→,red,➚,orange,→,orange,➚,orange,↑,red,→,red,→,orange,➚,orange,,red,→,green,→,green,→,grey,,red,→,red,→,orange,➚
Qatar,66.2,100,MENA,grey,,red,→,orange,➚,yellow,➚,orange,➚,red,➚,red,➚,orange,↑,orange,➚,grey,,orange,➚,red,↑,red,→,orange,➚,orange,↓,orange,↓,orange,➚
Bangladesh,65.9,101,East & South Asia,orange,➚,orange,➚,red,➚,yellow,↑,orange,→,red,➚,red,➚,orange,→,orange,➚,orange,,red,→,green,↑,green,→,red,↓,red,↓,red,↓,red,→
Brunei Darussalam,65.7,102,East & South Asia,grey,,red,➚,orange,→,green,→,orange,→,red,↑,red,➚,orange,→,orange,↑,grey,,green,↑,red,→,red,↓,red,→,red,→,red,↓,orange,➚
Cambodia,64.8,103,East & South Asia,grey,,orange,➚,red,→,orange,➚,red,➚,red,➚,red,➚,red,→,red,➚,grey,,orange,➚,yellow,→,green,→,red,→,red,→,red,→,orange,➚
Nicaragua,64.8,104,LAC,orange,→,red,→,red,➚,orange,,yellow,➚,red,→,orange,→,red,→,red,➚,red,,orange,➚,yellow,➚,green,↑,red,→,red,↓,red,↓,orange,➚
Iraq,64.8,105,MENA,grey,,red,→,red,➚,orange,,red,→,red,↑,red,➚,red,→,red,➚,yellow,,red,→,yellow,↑,yellow,➚,orange,→,red,↓,red,→,orange,↑
Mongolia,64.7,106,East & South Asia,yellow,→,red,→,red,➚,green,↑,orange,→,red,➚,red,→,red,→,orange,➚,orange,↓,red,→,red,→,red,↓,grey,,red,→,red,→,yellow,↑
Belize,64.6,107,LAC,red,↓,orange,➚,red,→,orange,→,orange,➚,red,➚,yellow,➚,red,↓,orange,➚,grey,,orange,➚,orange,↑,yellow,↑,red,→,red,↓,red,→,orange,↑
Kuwait,64.4,108,MENA,grey,,red,→,orange,➚,orange,→,orange,→,red,↑,orange,➚,orange,➚,orange,➚,grey,,yellow,➚,red,➚,red,→,red,➚,red,→,grey,,orange,➚
Namibia,64.3,109,Sub-Saharan Africa,red,↓,red,→,red,➚,yellow,➚,green,↑,red,→,red,→,red,→,orange,➚,red,,red,↓,orange,➚,yellow,↑,yellow,→,yellow,↑,red,↓,yellow,→
South Africa,64.0,110,Sub-Saharan Africa,red,→,red,→,red,➚,orange,↓,yellow,➚,orange,➚,red,→,red,➚,orange,➚,red,,orange,→,orange,➚,orange,➚,red,➚,red,→,red,→,yellow,➚
Bahrain,63.7,111,MENA,grey,,red,→,yellow,➚,yellow,→,red,→,red,↑,orange,➚,yellow,→,orange,➚,grey,,orange,→,red,➚,red,↓,red,→,red,↓,orange,→,orange,→
India,63.4,112,East & South Asia,orange,↑,red,→,red,➚,yellow,➚,red,➚,red,➚,orange,➚,orange,➚,red,➚,orange,↓,red,→,green,↑,green,→,red,➚,red,↓,red,→,orange,➚
Gabon,63.1,113,Sub-Saharan Africa,yellow,→,red,→,red,→,red,,red,→,red,→,orange,↑,red,➚,red,➚,orange,,red,→,yellow,↑,yellow,↑,red,→,orange,➚,red,→,orange,→
Trinidad and Tobago,63.0,114,LAC,green,→,orange,→,yellow,➚,orange,,orange,➚,orange,➚,red,➚,orange,➚,orange,➚,grey,,orange,➚,grey,,red,➚,red,→,red,→,red,→,orange,➚
Lao PDR,63.0,115,East & South Asia,orange,→,red,→,red,➚,orange,→,orange,➚,orange,↑,orange,→,orange,→,red,➚,orange,,orange,➚,yellow,→,yellow,→,grey,,red,→,red,→,red,→
Honduras,62.9,116,LAC,orange,→,red,→,red,➚,orange,→,yellow,➚,orange,➚,orange,➚,red,→,red,➚,red,→,orange,➚,yellow,→,green,➚,red,→,red,→,red,→,orange,→
"Venezuela, RB",62.9,117,LAC,red,↓,red,→,red,→,orange,→,orange,➚,orange,➚,orange,➚,orange,➚,orange,→,red,,orange,↑,orange,➚,yellow,↑,red,➚,orange,→,red,→,orange,→
Botswana,62.7,118,Sub-Saharan Africa,red,→,red,→,red,→,orange,,orange,➚,orange,➚,red,→,orange,→,orange,↑,red,,orange,→,orange,→,yellow,➚,grey,,red,➚,red,→,yellow,➚
Sao Tome and Principe,62.7,119,Sub-Saharan Africa,red,→,orange,→,red,→,red,,orange,→,red,→,red,➚,grey,,orange,➚,red,,red,→,grey,,green,↑,orange,→,yellow,➚,orange,→,orange,➚
Cote d'Ivoire,62.3,120,Sub-Saharan Africa,orange,↑,red,→,red,→,red,↑,red,➚,red,→,red,→,orange,➚,red,➚,orange,↑,red,→,green,↑,yellow,➚,orange,➚,orange,→,red,→,red,→
Senegal,61.8,121,Sub-Saharan Africa,orange,➚,red,→,red,➚,red,→,red,→,red,➚,red,→,orange,➚,orange,➚,orange,,red,→,green,➚,green,→,red,➚,red,→,orange,→,orange,➚
Ghana,61.8,122,Sub-Saharan Africa,red,→,orange,➚,red,➚,yellow,➚,red,➚,red,➚,orange,➚,orange,➚,orange,➚,red,,red,↓,green,→,yellow,→,red,→,orange,↓,red,→,orange,→
Kenya,60.9,123,Sub-Saharan Africa,red,→,red,→,red,→,orange,➚,orange,➚,red,→,red,➚,orange,→,red,➚,red,,red,↓,green,↑,green,➚,red,→,red,↓,red,→,orange,→
"Bahamas, The",60.9,124,LAC,grey,,red,→,orange,➚,orange,,orange,➚,red,➚,orange,➚,orange,➚,orange,➚,grey,,yellow,↑,red,↓,red,➚,red,→,red,↓,red,→,orange,➚
Myanmar,60.4,125,East & South Asia,orange,→,orange,→,red,→,red,↑,orange,→,red,➚,red,→,red,➚,red,➚,yellow,,red,→,yellow,→,yellow,➚,red,↓,red,↓,red,↓,red,→
Rwanda,60.2,126,Sub-Saharan Africa,red,→,red,→,red,→,red,→,orange,➚,red,→,red,➚,red,↓,red,➚,red,,red,→,yellow,→,green,➚,grey,,red,→,red,→,orange,➚
Guatemala,59.4,127,LAC,orange,→,red,→,red,➚,orange,➚,red,→,red,➚,orange,➚,red,↓,red,→,red,,orange,→,yellow,➚,green,➚,red,→,red,↓,red,→,orange,→
Pakistan,59.0,128,East & South Asia,orange,➚,red,→,red,→,red,→,red,→,red,➚,red,→,red,→,red,→,yellow,↑,red,→,yellow,➚,green,➚,red,➚,red,→,red,→,red,➚
"Gambia, The",58.3,129,Sub-Saharan Africa,orange,➚,red,→,red,→,red,→,red,➚,red,→,red,→,red,➚,red,→,orange,,red,→,green,↑,green,↑,red,↓,orange,➚,red,➚,red,➚
Syrian Arab Republic,58.2,130,MENA,grey,,red,→,red,➚,red,,red,→,orange,→,red,→,orange,→,red,→,orange,,red,↓,yellow,↑,green,↑,red,→,red,→,red,↓,orange,→
Mali,58.0,131,Sub-Saharan Africa,red,→,red,→,red,→,red,↓,orange,➚,red,➚,red,→,red,→,red,→,orange,,red,➚,yellow,→,green,➚,grey,,orange,➚,red,→,orange,→
Eswatini,57.9,132,Sub-Saharan Africa,red,→,red,→,red,➚,orange,↑,orange,➚,red,→,orange,➚,grey,,orange,➚,red,,yellow,→,grey,,yellow,→,grey,,red,→,red,↓,orange,→
Mauritania,57.2,133,Sub-Saharan Africa,orange,→,red,→,red,→,red,➚,red,→,red,→,red,→,red,→,red,➚,orange,,red,→,yellow,➚,green,➚,red,➚,red,→,red,→,orange,→
Tanzania,56.8,134,Sub-Saharan Africa,red,→,red,→,red,➚,red,➚,orange,➚,red,→,red,→,orange,➚,red,→,red,,red,→,green,↑,green,➚,red,↓,red,→,red,→,red,→
Malawi,56.3,135,Sub-Saharan Africa,red,↓,red,→,red,➚,red,→,orange,➚,red,→,red,→,red,→,red,→,orange,↑,red,→,green,➚,green,➚,grey,,red,→,red,→,red,→
Togo,56.3,136,Sub-Saharan Africa,red,➚,red,→,red,➚,orange,➚,red,→,red,→,red,➚,red,➚,red,➚,red,→,red,→,green,➚,green,➚,orange,→,orange,↓,red,↓,orange,→
Sierra Leone,55.7,137,Sub-Saharan Africa,red,➚,red,→,red,→,red,→,red,→,red,→,red,→,red,➚,red,→,orange,,red,↓,green,↑,green,➚,red,→,orange,→,red,→,orange,↑
Zimbabwe,55.6,138,Sub-Saharan Africa,red,↓,red,→,red,→,red,→,yellow,➚,red,↓,red,→,red,→,red,→,red,,orange,↓,green,➚,yellow,➚,grey,,orange,↓,red,↓,red,→
Cameroon,55.1,139,Sub-Saharan Africa,red,→,red,→,red,→,red,→,red,➚,red,→,red,→,red,→,red,➚,red,,red,→,green,➚,yellow,➚,orange,➚,red,↓,red,→,red,→
Benin,55.1,140,Sub-Saharan Africa,red,↑,red,→,red,→,red,→,red,→,red,→,red,↓,orange,➚,red,➚,orange,↑,red,→,green,➚,green,→,red,→,orange,→,red,→,orange,➚
Uganda,55.0,141,Sub-Saharan Africa,red,→,red,➚,red,➚,red,,orange,➚,red,→,red,➚,red,➚,red,→,red,→,red,→,green,↑,green,➚,grey,,red,↓,red,→,red,→
Guinea,54.9,142,Sub-Saharan Africa,orange,➚,red,→,red,→,red,➚,red,→,red,→,red,→,orange,→,red,→,yellow,,red,→,green,➚,green,→,red,↓,orange,→,red,→,orange,➚
Lesotho,54.9,143,Sub-Saharan Africa,red,→,red,→,red,→,red,→,yellow,➚,red,→,red,→,red,↓,red,→,red,,red,➚,grey,,green,↑,grey,,orange,➚,red,↓,orange,→
Ethiopia,54.5,144,Sub-Saharan Africa,red,➚,red,→,red,➚,red,→,orange,➚,red,→,red,➚,red,→,red,→,orange,,red,→,green,→,green,→,grey,,red,→,red,→,orange,→
Zambia,54.3,145,Sub-Saharan Africa,red,↓,red,→,red,➚,orange,,orange,➚,red,→,red,→,red,➚,red,→,red,,red,→,green,➚,green,➚,grey,,red,→,red,↓,orange,→
Nigeria,54.3,146,Sub-Saharan Africa,red,→,red,→,red,→,red,,red,→,red,➚,red,→,red,→,red,➚,orange,➚,red,→,green,→,yellow,→,red,➚,orange,↓,red,→,red,→
Burundi,53.9,147,Sub-Saharan Africa,red,↓,red,→,red,→,red,➚,red,➚,red,→,red,→,red,↑,red,↓,orange,,red,➚,green,→,green,➚,grey,,red,→,red,↓,orange,→
Papua New Guinea,53.6,148,Oceania,red,→,red,↓,red,→,red,,red,→,red,→,red,→,red,→,red,→,red,,orange,→,green,→,green,→,red,→,orange,→,red,→,red,→
Mozambique,52.7,149,Sub-Saharan Africa,red,→,red,→,red,→,red,➚,red,➚,red,➚,red,→,red,➚,red,↓,red,,orange,→,green,➚,yellow,↑,red,➚,red,↓,red,↓,orange,→
Djibouti,52.7,150,Sub-Saharan Africa,orange,➚,red,→,red,→,red,→,red,➚,red,→,red,→,red,↓,orange,↑,red,,orange,➚,yellow,↑,yellow,➚,red,↓,red,↓,red,→,red,→
"Congo, Rep.",52.6,151,Sub-Saharan Africa,red,↓,red,→,red,→,red,,red,→,red,→,red,➚,red,➚,red,→,red,,red,↓,green,➚,yellow,➚,orange,➚,orange,➚,red,↓,orange,→
Haiti,52.6,152,LAC,red,→,red,→,red,→,grey,,red,➚,red,→,red,→,red,↓,red,→,red,,red,→,green,➚,green,➚,red,↓,red,→,red,↓,red,→
Burkina Faso,52.4,153,Sub-Saharan Africa,red,→,red,→,red,→,red,➚,red,→,red,↓,red,→,red,→,red,→,red,↓,red,➚,green,➚,green,→,grey,,orange,➚,red,→,orange,➚
Comoros,51.7,154,Sub-Saharan Africa,red,→,red,→,red,→,red,,red,→,red,→,red,➚,grey,,red,→,red,,red,→,grey,,green,→,red,↓,red,➚,red,↓,yellow,→
Angola,50.8,155,Sub-Saharan Africa,red,↓,red,→,red,→,red,➚,red,→,red,→,red,➚,red,→,red,→,red,,red,↓,green,↑,green,↑,orange,→,red,→,red,→,orange,→
Madagascar,50.3,156,Sub-Saharan Africa,red,→,red,→,red,→,red,↓,orange,➚,red,→,red,→,red,↓,red,→,red,,red,→,green,↑,green,→,red,→,red,→,red,→,red,→
Liberia,49.9,157,Sub-Saharan Africa,red,↓,red,→,red,→,red,↓,red,→,red,→,red,→,red,→,red,→,orange,,red,→,green,↑,green,↑,orange,➚,red,→,red,→,orange,➚
Afghanistan,49.0,158,E. Europe & C. Asia,red,↓,red,→,red,→,red,→,red,➚,red,➚,red,→,red,→,red,→,grey,,red,→,green,↑,green,→,grey,,red,➚,red,→,red,➚
"Congo, Dem. Rep.",48.6,159,Sub-Saharan Africa,red,→,red,→,red,→,red,➚,red,➚,red,↓,red,→,red,→,red,➚,red,,red,→,green,↑,green,↑,yellow,→,red,→,red,→,red,→
Sudan,48.6,160,Sub-Saharan Africa,red,↓,red,→,red,→,red,,red,→,red,→,orange,➚,red,→,red,➚,orange,,red,→,green,,green,↑,red,→,red,→,red,➚,red,→
Niger,48.3,161,Sub-Saharan Africa,red,→,red,→,red,→,red,↓,red,➚,red,→,red,→,red,➚,red,→,orange,↓,red,➚,yellow,↑,green,↑,grey,,red,➚,red,→,orange,➚
Somalia,48.0,162,Sub-Saharan Africa,red,↓,red,→,red,→,grey,,red,→,red,→,red,→,red,→,red,→,orange,,orange,➚,green,➚,green,↑,red,→,red,↓,grey,,red,↑
"Yemen, Rep.",46.8,163,MENA,red,↓,red,→,red,→,red,,red,→,red,→,red,→,red,➚,red,→,orange,,red,➚,green,➚,green,↑,red,↓,red,↓,red,↓,orange,↓
Chad,45.3,164,Sub-Saharan Africa,red,↓,red,→,red,→,red,→,red,→,red,→,red,→,red,→,red,→,orange,,red,→,yellow,➚,green,↑,grey,,orange,→,red,↓,red,➚
Central African Republic,40.4,165,Sub-Saharan Africa,red,→,red,→,red,→,red,,red,→,red,↓,red,→,red,→,red,→,red,,red,↓,green,➚,green,→,grey,,yellow,→,red,↓,red,→
South Sudan,38.7,166,Sub-Saharan Africa,red,↓,red,→,red,→,red,,orange,➚,red,→,red,→,red,→,red,→,red,,red,→,yellow,➚,green,↑,grey,,red,→,red,↓,red,→
Andorra,,,E. Europe & C. Asia,grey,,yellow,↓,grey,,grey,,green,➚,green,↑,yellow,➚,grey,,orange,➚,grey,,yellow,↑,grey,,yellow,→,grey,,orange,→,grey,,yellow,↑
Antigua and Barbuda,,,LAC,grey,,red,→,yellow,➚,green,↑,orange,→,orange,,red,➚,grey,,orange,➚,grey,,yellow,➚,grey,,yellow,→,red,→,orange,→,orange,➚,orange,➚
Dominica,,,LAC,grey,,red,→,grey,,orange,→,yellow,↑,orange,,red,→,grey,,orange,➚,grey,,grey,,grey,,yellow,↑,red,➚,red,↓,red,→,orange,↑
Eritrea,,,Sub-Saharan Africa,red,→,red,→,red,➚,red,↓,orange,➚,red,,red,→,red,→,red,→,grey,,red,↓,green,↑,green,➚,red,↓,red,↓,grey,,yellow,→
"Micronesia, Fed. Sts.",,,Oceania,grey,,grey,,red,→,red,↓,orange,→,grey,,red,→,grey,,red,→,red,,grey,,grey,,green,→,red,→,red,→,grey,,orange,→
Guinea-Bissau,,,Sub-Saharan Africa,red,→,red,→,red,→,red,→,red,→,red,→,red,→,grey,,red,→,orange,,red,→,grey,,green,→,red,→,red,↓,red,→,red,→
Equatorial Guinea,,,Sub-Saharan Africa,grey,,red,→,red,→,red,,red,→,red,,red,→,orange,↓,red,→,grey,,red,↓,yellow,↑,yellow,↑,orange,→,orange,➚,grey,,red,↓
Grenada,,,LAC,grey,,orange,→,orange,➚,yellow,➚,yellow,➚,orange,,orange,→,grey,,orange,↑,grey,,grey,,grey,,yellow,→,red,→,red,→,red,→,orange,↓
Kiribati,,,Oceania,grey,,red,→,red,➚,yellow,↓,red,→,red,→,red,→,grey,,orange,➚,green,,orange,➚,grey,,green,→,orange,→,grey,,grey,,yellow,➚
St. Kitts and Nevis,,,LAC,grey,,orange,→,grey,,green,➚,yellow,➚,orange,,orange,➚,grey,,orange,↑,grey,,yellow,↑,grey,,yellow,→,red,→,red,→,red,→,orange,→
Libya,,,MENA,grey,,red,↓,red,➚,grey,,red,→,red,➚,red,↓,red,↓,red,→,grey,,orange,↓,red,→,red,↓,red,→,orange,➚,grey,,orange,→
St. Lucia,,,LAC,orange,→,orange,→,red,→,yellow,→,orange,➚,orange,➚,orange,→,grey,,orange,➚,red,,yellow,➚,grey,,yellow,→,red,→,orange,↓,red,→,orange,➚
Liechtenstein,,,E. Europe & C. Asia,grey,,grey,,grey,,green,➚,grey,,grey,,green,↑,grey,,yellow,➚,grey,,grey,,grey,,grey,,grey,,yellow,➚,grey,,grey,
Monaco,,,E. Europe & C. Asia,grey,,grey,,grey,,green,,grey,,green,↑,green,↑,grey,,orange,➚,grey,,yellow,↑,grey,,grey,,grey,,grey,,grey,,orange,↓
Marshall Islands,,,Oceania,grey,,red,→,grey,,red,↓,orange,→,grey,,orange,→,grey,,red,→,orange,,grey,,grey,,grey,,red,→,grey,,grey,,orange,➚
Nauru,,,Oceania,grey,,red,→,grey,,yellow,↓,red,→,red,↑,red,➚,grey,,red,↓,orange,,orange,➚,grey,,yellow,→,red,↓,grey,,grey,,yellow,↑
Palau,,,Oceania,grey,,grey,,grey,,yellow,➚,orange,→,yellow,↑,yellow,➚,grey,,red,↑,grey,,yellow,↑,grey,,grey,,orange,→,red,→,grey,,orange,➚
"Korea, Dem. Rep.",,,East & South Asia,grey,,red,→,red,→,green,,yellow,➚,orange,→,red,→,orange,➚,red,→,grey,,red,→,green,➚,yellow,→,red,→,red,→,grey,,grey,
Solomon Islands,,,Oceania,red,↓,red,→,red,→,red,↓,red,➚,red,↓,red,→,grey,,red,→,orange,,orange,→,grey,,green,↑,red,↓,red,↓,orange,→,orange,➚
San Marino,,,E. Europe & C. Asia,grey,,orange,,grey,,yellow,,yellow,↑,grey,,green,↑,grey,,orange,↑,grey,,yellow,↑,grey,,grey,,grey,,grey,,grey,,green,↑
Seychelles,,,Sub-Saharan Africa,grey,,red,→,orange,➚,green,➚,yellow,→,orange,↑,orange,➚,grey,,orange,↑,yellow,,yellow,➚,grey,,yellow,→,yellow,→,red,➚,grey,,orange,↑
Timor-Leste,,,East & South Asia,orange,↓,red,→,red,➚,orange,➚,orange,→,red,➚,red,➚,grey,,red,→,yellow,,orange,➚,grey,,grey,,red,↓,grey,,red,➚,yellow,➚
Tonga,,,Oceania,yellow,↑,orange,→,red,→,yellow,↑,red,→,grey,,red,➚,grey,,orange,➚,orange,,yellow,↑,grey,,green,→,red,→,grey,,orange,→,orange,↑
Tuvalu,,,Oceania,grey,,red,→,grey,,orange,↓,red,→,orange,↑,orange,➚,grey,,orange,➚,orange,,yellow,↑,grey,,green,→,orange,→,grey,,grey,,yellow,↑
St. Vincent and the Grenadines,,,LAC,grey,,orange,→,orange,➚,yellow,↑,orange,➚,orange,,red,→,grey,,orange,↑,grey,,grey,,grey,,yellow,↑,red,→,red,→,red,➚,orange,↑
Vanuatu,,,Oceania,red,↓,red,→,red,→,orange,➚,red,→,red,→,red,→,grey,,orange,➚,orange,,yellow,→,grey,,green,→,red,→,red,→,red,,orange,➚
Samoa,,,Oceania,yellow,➚,red,→,red,→,orange,→,red,→,orange,➚,red,→,grey,,orange,➚,orange,,yellow,→,grey,,green,→,orange,↓,red,↓,red,↑,yellow,➚
Eastern Europe and Central Asia,71.8,,,orange,↓,orange,→,orange,➚,yellow,➚,orange,➚,orange,➚,red,→,orange,→,orange,➚,yellow,→,orange,→,orange,→,orange,→,grey,,red,→,red,→,yellow,➚
East and South Asia,67.2,,,yellow,↑,red,→,red,➚,yellow,→,orange,➚,orange,↑,orange,➚,orange,→,orange,↑,orange,,red,→,yellow,➚,orange,→,red,→,red,→,red,→,orange,→
Latin America and the Caribbean,70.2,,,orange,↓,orange,↓,red,→,yellow,➚,yellow,➚,orange,➚,yellow,↑,orange,→,orange,➚,red,,orange,→,orange,➚,yellow,↑,red,→,red,→,red,→,yellow,↑
Middle East and North Africa,67.1,,,orange,↓,red,→,red,➚,orange,➚,red,→,orange,↑,red,→,red,→,orange,➚,orange,,orange,→,yellow,↑,orange,➚,red,→,red,→,red,→,orange,➚
Oceania,52.7,,,red,→,red,↓,red,→,red,➚,red,→,red,→,red,→,grey,,red,➚,red,,orange,→,grey,,green,→,red,→,orange,→,grey,,red,→
OECD members,77.8,,,yellow,→,red,→,yellow,➚,green,➚,yellow,➚,yellow,↑,orange,➚,yellow,➚,green,➚,orange,→,yellow,➚,red,→,red,→,orange,→,red,→,orange,→,yellow,➚
Small Island Developing States,63.9,,,red,→,red,→,red,→,orange,↓,orange,→,red,→,red,→,grey,,orange,→,orange,→,orange,→,grey,,yellow,➚,red,→,red,→,red,→,orange,→
Sub-Saharan Africa,53.0,,,red,→,red,→,red,→,red,→,red,→,red,→,red,→,red,→,red,→,red,,red,→,green,↑,yellow,↑,red,→,red,→,red,↓,red,→
Low-income Countries,50.7,,,red,→,red,→,red,→,red,,red,➚,red,→,red,→,red,→,red,→,orange,,red,→,green,↑,green,➚,red,↓,red,→,red,↓,orange,→
Lower-middle-income Countries,63.4,,,orange,➚,red,→,red,→,orange,→,red,→,red,➚,orange,➚,orange,→,orange,➚,orange,,red,→,green,↑,yellow,→,red,➚,red,→,red,→,orange,→
Upper-middle-income Countries,71.7,,,yellow,➚,orange,→,orange,➚,yellow,➚,yellow,➚,orange,↑,orange,➚,orange,➚,yellow,↑,red,,orange,➚,orange,➚,orange,➚,red,→,red,↓,red,→,orange,→
High-income Countries,78.2,,,green,↑,red,→,yellow,➚,green,➚,yellow,➚,orange,↑,orange,➚,yellow,➚,green,↑,orange,→,yellow,➚,red,→,red,→,orange,→,red,→,yellow,→,yellow,➚
World,66.7,,,orange,→,red,→,red,➚,yellow,→,orange,➚,orange,➚,orange,➚,orange,→,orange,➚,orange,→,red,→,yellow,➚,orange,→,red,→,red,→,red,→,orange,→